# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,Samsung Galaxy S,0,1,0,1,1,0,0,0
20120505,Samsung Galaxy Tab,0,2,0,3,2,0,0,0
20120505,Samsung Galaxy Tab,0,1,0,3,1,0,0,0
20120505,Samsung Galaxy Tab,0,0,0,1,0,0,0,0
20120505,Samsung Galaxy S,0,0,0,1,0,0,0,0
20120505,Samsung Galaxy S,0,3,0,7,3,0,0,0
20120505,Samsung Galaxy Note,0,3,0,6,3,0,0,0
20120505,Samsung Galaxy Note,0,1,0,3,1,0,0,0
20120505,Samsung Galaxy Note,0,7,0,9,6,0,0,0
20120505,SHV-E150S,0,0,0,1,0,0,0,0
20120505,SHV-E140L,0,1,0,1,1,0,0,0
20120505,SHV-E120S,0,1,0,2,1,0,0,0
20120505,Samsung SHV-E120L,0,1,0,5,1,0,0,0
20120505,SHV-E120K,0,0,0,1,0,0,0,0
20120505,SHI12,0,1,0,1,1,0,0,0
20120505,Sharp IS05,0,2,0,3,2,0,0,0
20120505,Sharp IS03,0,4,0,7,4,0,0,0
20120505,SH13C,0,1,0,2,1,0,0,0
20120505,Sharp Aquos,0,2,0,3,2,0,0,0
20120505,Sharp Lynx 3D SH-03C,0,1,0,1,1,0,0,0
20120505,SGH-T989D,0,0,0,3,0,0,0,0
20120505,Samsung Galaxy S2,0,29,0,71,28,0,0,0
20120505,Samsung Galaxy S,0,27,0,63,27,0,0,0
20120505,SGH-T959P,0,1,0,1,1,0,0,0
20120505,SGH-T959D,0,3,0,5,3,0,0,0
20120505,Samsung Galaxy S,0,8,0,43,8,0,0,0
20120505,SGH-T859,0,2,0,4,2,0,0,0
20120505,Samsung Galaxy Tab,0,6,0,13,6,0,0,0
20120505,Samsung Sidekick 4G,0,6,0,20,6,1,1,0
20120505,SGH-T769,0,2,0,3,2,0,0,0
20120505,Samsung Exhibit 4G,0,4,0,11,3,0,0,0
20120505,Samsung Exhibit 2 4G,0,13,0,41,13,2,2,0
20120505,SGH-T589R,0,0,0,2,0,0,0,0
20120505,Samsung Gravity Smart,0,2,0,19,2,1,1,0
20120505,SGH-I997R,0,5,0,9,5,0,0,0
20120505,Samsung Infuse 4G,0,29,0,81,29,1,1,0
20120505,SGH-I987,0,1,0,2,1,0,0,0
20120505,Samsung Galaxy Tab 10.1,0,2,0,3,2,0,0,0
